,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.58370000E-05,1559292257.026,+1.57087630E+00,,1.2646330777656079e-08,5.156800985221675e-05
1,+3.54032000E-05,1559292257.2343333,+1.57087380E+00,,1.2670974808324206e-08,5.1566857142857146e-05
2,+3.59506000E-05,1559292257.4426668,+1.57087260E+00,,2.8007546549835704e-07,5.156877832512315e-05
3,+3.60173000E-05,1559292257.651,+1.57087140E+00,,2.1456515881708654e-06,5.157005911330049e-05
4,+3.56236000E-05,1559292257.8593333,+1.57087140E+00,,2.1458857612267253e-06,5.156352709359606e-05
5,+3.57570000E-05,1559292258.0676668,+1.57087260E+00,,2.1546946330777655e-06,5.156608866995074e-05
6,+3.57905000E-05,1559292258.276,+1.57087380E+00,,4.278332311062432e-06,5.1567369458128075e-05
7,+3.54367000E-05,1559292258.4843333,+1.57087260E+00,,4.278806571741512e-06,5.156800985221675e-05
8,+3.54834000E-05,1559292258.6926668,+1.57086890E+00,,4.781666484118292e-06,5.156532019704433e-05
9,+3.59172000E-05,1559292258.901,+1.57087510E+00,,6.414581051478642e-06,5.156698522167488e-05
10,+3.56102000E-05,1559292259.1093333,+1.57087260E+00,,6.4151940854326395e-06,5.156800985221675e-05
11,+3.50562000E-05,1559292259.3176668,+1.57087260E+00,,6.104339539978094e-06,5.156429556650246e-05
12,+3.52098000E-05,1559292259.526,+1.57087380E+00,,8.571626834611172e-06,5.157005911330049e-05
13,+3.55969000E-05,1559292259.7343333,+1.57087140E+00,,8.571710624315444e-06,5.1568650246305414e-05
14,+3.55702000E-05,1559292259.9426668,+1.57087380E+00,,9.320767031763417e-06,5.1567369458128075e-05
15,+3.52364000E-05,1559292260.151,+1.57087630E+00,,1.0735769550930996e-05,5.156647290640394e-05
16,+3.60573000E-05,1559292260.3593333,+1.57087260E+00,,1.0736067360350493e-05,5.15715960591133e-05
17,+3.56902000E-05,1559292260.5676668,+1.57087140E+00,,1.073627995618839e-05,5.1567369458128075e-05
18,+3.56969000E-05,1559292260.776,+1.57087010E+00,,1.0736462102957284e-05,5.156852216748768e-05
19,+3.61708000E-05,1559292260.9843333,+1.57087510E+00,,1.0736551807228915e-05,5.1571083743842364e-05
20,+3.59305000E-05,1559292261.1926668,+1.57087880E+00,,1.073666604600219e-05,5.156954679802956e-05
21,+3.54700000E-05,1559292261.401,+1.57087010E+00,,1.073687426067908e-05,5.1566857142857146e-05
22,+3.62042000E-05,1559292261.6093333,+1.57087260E+00,,1.0736843921139102e-05,5.157133990147783e-05
23,+3.50364000E-05,1559292261.8176668,+1.57087510E+00,,1.0737001533406352e-05,5.157082758620689e-05
24,+3.47026000E-05,1559292262.026,+1.57088130E+00,,1.0737112814895947e-05,5.1569162561576356e-05
25,+3.59372000E-05,1559292265.689,+1.57088380E+00,,1.103677108433735e-05,5.156749753694581e-05
26,+3.62642000E-05,1559292265.8973331,+1.57088620E+00,,1.283564074479737e-05,5.1571852216748774e-05
27,+3.57704000E-05,1559292266.1056666,+1.57088620E+00,,1.2836040525739322e-05,5.156749753694581e-05
28,+3.61574000E-05,1559292266.314,+1.57088750E+00,,1.1345934282584884e-05,5.157018719211823e-05
29,+3.57770000E-05,1559292266.5223331,+1.57088380E+00,,1.498309090909091e-05,5.156929064039409e-05
30,+3.52965000E-05,1559292266.7306666,+1.57088750E+00,,1.4982656078860896e-05,5.157300492610838e-05
31,+3.62107000E-05,1559292266.939,+1.57088620E+00,,1.6079629791894853e-05,5.156800985221675e-05
32,+3.55702000E-05,1559292267.1473331,+1.57088750E+00,,1.717961117196057e-05,5.156826600985222e-05
33,+3.49762000E-05,1559292267.3556666,+1.57088500E+00,,1.7180334063526836e-05,5.157005911330049e-05
34,+3.60040000E-05,1559292267.564,+1.57088380E+00,,1.8277757940854327e-05,5.156724137931035e-05
35,+3.53099000E-05,1559292267.7723331,+1.57088500E+00,,1.927743483023001e-05,5.1569162561576356e-05
36,+3.55101000E-05,1559292267.9806666,+1.57089370E+00,,1.927775355969332e-05,5.156698522167488e-05
37,+3.46759000E-05,1559292268.189,+1.57088870E+00,,2.0558949616648413e-05,5.157031527093596e-05
38,+3.58639000E-05,1559292268.3973331,+1.57088870E+00,,2.1376707557502738e-05,5.157133990147783e-05
39,+3.51030000E-05,1559292268.6056666,+1.57088500E+00,,2.1377272727272727e-05,5.156890640394089e-05
40,+3.56435000E-05,1559292268.814,+1.57088380E+00,,2.137741730558598e-05,5.156839408866995e-05
41,+3.53365000E-05,1559292269.0223331,+1.57087630E+00,,2.1377272727272727e-05,5.1562118226600986e-05
42,+3.63376000E-05,1559292269.2306666,+1.57087760E+00,,2.1377734939759037e-05,5.1572108374384235e-05
43,+3.57836000E-05,1559292269.439,+1.57087380E+00,,2.1377893756845563e-05,5.157172413793104e-05
44,+3.52899000E-05,1559292269.6473331,+1.57087630E+00,,2.1377893756845563e-05,5.156532019704433e-05
45,+3.52565000E-05,1559292269.8556666,+1.57087510E+00,,2.1377995618838992e-05,5.1569162561576356e-05
46,+3.53433000E-05,1559292270.064,+1.57087510E+00,,2.1378226725082147e-05,5.1573133004926106e-05
47,+3.53165000E-05,1559292270.2723331,+1.57087510E+00,,2.1378226725082147e-05,5.156660098522167e-05
48,+3.61641000E-05,1559292270.4806666,+1.57087140E+00,,2.137853121577218e-05,5.156775369458128e-05
49,+3.46158000E-05,1559292270.689,+1.57087630E+00,,2.1378284775465498e-05,5.157595073891626e-05
50,+3.49160000E-05,1559292274.289,+1.57087380E+00,,2.1731043811610077e-05,5.156929064039409e-05
51,+3.52565000E-05,1559292274.4973333,+1.57087510E+00,,2.3572552026286967e-05,5.157082758620689e-05
52,+3.50429000E-05,1559292274.7056668,+1.57087760E+00,,2.3572784227820372e-05,5.1569674876847285e-05
53,+3.48961000E-05,1559292274.914,+1.57088130E+00,,2.3959710843373495e-05,5.15715960591133e-05
54,+3.48027000E-05,1559292275.1223333,+1.57088000E+00,,2.5670813800657172e-05,5.1569162561576356e-05
55,+3.50697000E-05,1559292275.3306668,+1.57088750E+00,,2.5671117196056955e-05,5.156698522167488e-05
56,+3.54101000E-05,1559292275.539,+1.57088380E+00,,2.7854810514786415e-05,5.156314285714286e-05
57,+3.46693000E-05,1559292275.7473333,+1.57088250E+00,,2.785155531215772e-05,5.156416748768473e-05
58,+3.44490000E-05,1559292275.9556668,+1.57088500E+00,,2.7852741511500548e-05,5.1564679802955664e-05
59,+3.50162000E-05,1559292276.164,+1.57088380E+00,,3.0033138006571742e-05,5.1565704433497535e-05
60,+3.51630000E-05,1559292276.3723333,+1.57088500E+00,,3.0034888280394306e-05,5.1565064039408865e-05
61,+3.42755000E-05,1559292276.5806668,+1.57088380E+00,,3.0035249726177437e-05,5.156954679802956e-05
62,+3.54167000E-05,1559292276.789,+1.57088000E+00,,3.215127053669222e-05,5.1564679802955664e-05
63,+3.42021000E-05,1559292276.9973333,+1.57088000E+00,,3.2152499452354874e-05,5.1564807881773404e-05
64,+3.50630000E-05,1559292277.2056668,+1.57087760E+00,,3.215284665936473e-05,5.1564807881773404e-05
65,+3.49962000E-05,1559292277.414,+1.57087760E+00,,3.2153426067908e-05,5.1566344827586204e-05
66,+3.42954000E-05,1559292277.6223333,+1.57087630E+00,,3.2153426067908e-05,5.1567113300492614e-05
67,+3.51363000E-05,1559292277.8306668,+1.57087760E+00,,3.2153743702081054e-05,5.1571083743842364e-05
68,+3.44824000E-05,1559292278.039,+1.57087510E+00,,3.2154076670317634e-05,5.15655763546798e-05
69,+3.45891000E-05,1559292278.2473333,+1.57087510E+00,,3.215384556407448e-05,5.1568650246305414e-05
70,+3.47961000E-05,1559292278.4556668,+1.57087510E+00,,3.215372946330778e-05,5.156788177339902e-05
71,+3.42088000E-05,1559292278.664,+1.57087510E+00,,3.215427929901424e-05,5.157082758620689e-05
72,+3.46892000E-05,1559292278.8723333,+1.57087630E+00,,3.215448192771084e-05,5.1564423645320196e-05
73,+3.41421000E-05,1559292279.0806668,+1.57087380E+00,,3.2154452354874035e-05,5.1565832512315275e-05
74,+3.48027000E-05,1559292279.289,+1.57087630E+00,,3.215469879518072e-05,5.1563014778325123e-05
75,+3.40752000E-05,1559292283.027,+1.57087010E+00,,3.317104381161007e-05,5.156365517241379e-05
76,+3.52299000E-05,1559292283.2353332,+1.57087510E+00,,3.424351369112815e-05,5.156724137931035e-05
77,+3.54767000E-05,1559292283.4436667,+1.57087260E+00,,3.4243818181818185e-05,5.15587881773399e-05
78,+3.59773000E-05,1559292283.652,+1.57087140E+00,,3.549464731653888e-05,5.1566729064039406e-05
79,+3.49028000E-05,1559292283.8603332,+1.57087510E+00,,3.642448849945236e-05,5.156045320197044e-05
80,+3.48828000E-05,1559292284.0686667,+1.57087510E+00,,3.642480722891566e-05,5.156852216748768e-05
81,+3.43356000E-05,1559292284.277,+1.57087260E+00,,3.76900887185104e-05,5.1564679802955664e-05
82,+3.40819000E-05,1559292284.4853332,+1.57087260E+00,,3.854182803943045e-05,5.156660098522167e-05
83,+3.42489000E-05,1559292284.6936667,+1.57087260E+00,,3.8541856516976995e-05,5.156954679802956e-05
84,+3.45424000E-05,1559292284.902,+1.57087380E+00,,3.9970110624315445e-05,5.1567369458128075e-05
85,+3.43823000E-05,1559292285.1103332,+1.57087510E+00,,4.0628373493975905e-05,5.15651921182266e-05
86,+3.37216000E-05,1559292285.3186667,+1.57087760E+00,,4.062851807228916e-05,5.156532019704433e-05
87,+3.36814000E-05,1559292285.527,+1.57088000E+00,,4.212924205914567e-05,5.1567113300492614e-05
88,+3.47426000E-05,1559292285.7353332,+1.57087760E+00,,4.2747161007667034e-05,5.156749753694581e-05
89,+3.42755000E-05,1559292285.9436667,+1.57087880E+00,,4.274756626506024e-05,5.15655763546798e-05
90,+3.47226000E-05,1559292286.152,+1.57088130E+00,,4.274763855421687e-05,5.156621674876847e-05
91,+3.41420000E-05,1559292286.3603332,+1.57087880E+00,,4.274768127053669e-05,5.157018719211823e-05
92,+3.43689000E-05,1559292286.5686667,+1.57087880E+00,,4.274740635268346e-05,5.1565064039408865e-05
93,+3.35614000E-05,1559292286.777,+1.57087880E+00,,4.274731982475356e-05,5.157133990147783e-05
94,+3.37350000E-05,1559292286.9853332,+1.57087760E+00,,4.274752245345016e-05,5.156647290640394e-05
95,+3.46759000E-05,1559292287.1936667,+1.57088250E+00,,4.274768127053669e-05,5.1567369458128075e-05
96,+3.42087000E-05,1559292287.402,+1.57088130E+00,,4.2748e-05,5.156660098522167e-05
97,+3.30542000E-05,1559292287.6103332,+1.57088000E+00,,4.27480865279299e-05,5.156980295566502e-05
98,+3.47761000E-05,1559292287.8186667,+1.57087880E+00,,4.274843373493976e-05,5.1566344827586204e-05
99,+3.36015000E-05,1559292288.027,+1.57088130E+00,,4.274834720700985e-05,5.156749753694581e-05
100,+3.36681000E-05,1559292291.688,+1.57088130E+00,,4.3018246440306686e-05,5.1569418719211824e-05
101,+3.44890000E-05,1559292291.8963332,+1.57088000E+00,,4.49286856516977e-05,5.1567369458128075e-05
102,+3.33079000E-05,1559292292.1046667,+1.57088000E+00,,4.492938006571742e-05,5.156775369458128e-05
103,+3.38550000E-05,1559292292.313,+1.57087760E+00,,4.537247645125959e-05,5.1568650246305414e-05
104,+3.39352000E-05,1559292292.5213332,+1.57087880E+00,,4.704560460021906e-05,5.156826600985222e-05
105,+3.40018000E-05,1559292292.7296667,+1.57087880E+00,,4.7046328587075575e-05,5.1567113300492614e-05
106,+3.39350000E-05,1559292292.938,+1.57088130E+00,,4.7533302300109526e-05,5.156877832512315e-05
107,+3.41954000E-05,1559292293.1463332,+1.57087760E+00,,4.9131887185104056e-05,5.1567113300492614e-05
108,+3.33211000E-05,1559292293.3546667,+1.57087760E+00,,4.9132364731653886e-05,5.1569162561576356e-05
109,+3.26939000E-05,1559292293.563,+1.57088250E+00,,4.98423121577218e-05,5.1568650246305414e-05
110,+3.31811000E-05,1559292293.7713332,+1.57088000E+00,,5.134535487404162e-05,5.156954679802956e-05
111,+3.33079000E-05,1559292293.9796667,+1.57087630E+00,,5.134570208105148e-05,5.156993103448276e-05
112,+3.41688000E-05,1559292294.188,+1.57087880E+00,,5.206221686746988e-05,5.156877832512315e-05
113,+3.30542000E-05,1559292294.3963332,+1.57088000E+00,,5.342915005476451e-05,5.156826600985222e-05
114,+3.26271000E-05,1559292294.6046667,+1.57088380E+00,,5.3429569550930994e-05,5.156788177339902e-05
115,+3.37617000E-05,1559292294.813,+1.57088500E+00,,5.342987294633078e-05,5.156980295566502e-05
116,+3.39150000E-05,1559292295.0213332,+1.57088620E+00,,5.34299748083242e-05,5.1566857142857146e-05
117,+3.43756000E-05,1559292295.2296667,+1.57088380E+00,,5.3430249726177435e-05,5.156980295566502e-05
118,+3.32545000E-05,1559292295.438,+1.57088380E+00,,5.343029244249726e-05,5.156762561576354e-05
119,+3.32010000E-05,1559292295.6463332,+1.57088380E+00,,5.343052464403067e-05,5.156621674876847e-05
120,+3.26538000E-05,1559292295.8546667,+1.57088500E+00,,5.343069769989047e-05,5.156275862068965e-05
121,+3.34680000E-05,1559292296.063,+1.57087880E+00,,5.343101642935378e-05,5.1567369458128075e-05
122,+3.37683000E-05,1559292296.2713332,+1.57087880E+00,,5.3430972617743704e-05,5.156903448275862e-05
123,+3.19732000E-05,1559292296.4796667,+1.57087880E+00,,5.3430870755750275e-05,5.157057142857143e-05
124,+3.31676000E-05,1559292296.688,+1.57088000E+00,,5.343156516976999e-05,5.156532019704433e-05
125,+3.31744000E-05,1559292300.289,+1.57087630E+00,,4.5283454545454546e-05,5.156788177339902e-05
126,+3.37549000E-05,1559292300.4973333,+1.57087880E+00,,5.5565238773274916e-05,5.156903448275862e-05
127,+3.27872000E-05,1559292300.7056668,+1.57087760E+00,,5.556489156626506e-05,5.157492610837439e-05
128,+3.38550000E-05,1559292300.914,+1.57088130E+00,,5.592188937568456e-05,5.156852216748768e-05
129,+3.28207000E-05,1559292301.1223333,+1.57087880E+00,,5.774217853231107e-05,5.156800985221675e-05
130,+3.36683000E-05,1559292301.3306668,+1.57087880E+00,,5.77439726177437e-05,5.156954679802956e-05
131,+3.28673000E-05,1559292301.539,+1.57087760E+00,,5.827393537787514e-05,5.1568650246305414e-05
132,+3.30208000E-05,1559292301.7473333,+1.57087380E+00,,5.985783023001095e-05,5.157095566502463e-05
133,+3.26338000E-05,1559292301.9556668,+1.57087760E+00,,5.9859044906900326e-05,5.1572108374384235e-05
134,+3.32944000E-05,1559292302.164,+1.57087260E+00,,6.04380317634173e-05,5.1565064039408865e-05
135,+3.29740000E-05,1559292302.3723333,+1.57087380E+00,,6.197347645125959e-05,5.1571467980295566e-05
136,+3.24336000E-05,1559292302.5806668,+1.57088000E+00,,6.197440197152245e-05,5.157069950738917e-05
137,+3.24737000E-05,1559292302.789,+1.57087760E+00,,6.275919496166484e-05,5.1578e-05
138,+3.23402000E-05,1559292302.9973333,+1.57087510E+00,,6.41510821467689e-05,5.1572876847290645e-05
139,+3.21399000E-05,1559292303.2056668,+1.57087260E+00,,6.415164622124863e-05,5.157364532019704e-05
140,+3.27272000E-05,1559292303.414,+1.57087630E+00,,6.415216648411829e-05,5.157428571428571e-05
141,+3.31877000E-05,1559292303.6223333,+1.57087760E+00,,6.41527447973713e-05,5.157351724137931e-05
142,+3.20132000E-05,1559292303.8306668,+1.57087630E+00,,6.415309200438117e-05,5.15719802955665e-05
143,+3.25336000E-05,1559292304.039,+1.57087630E+00,,6.415410514786418e-05,5.157556650246305e-05
144,+3.22535000E-05,1559292304.2473333,+1.57087760E+00,,6.415419167579409e-05,5.157262068965517e-05
145,+3.18464000E-05,1559292304.4556668,+1.57088000E+00,,6.415529134720702e-05,5.1576206896551726e-05
146,+3.16728000E-05,1559292304.664,+1.57087880E+00,,6.415563855421687e-05,5.15712118226601e-05
147,+3.24470000E-05,1559292304.8723333,+1.57087510E+00,,6.415644797371303e-05,5.1570443349753695e-05
148,+3.14726000E-05,1559292305.0806668,+1.57087380E+00,,6.415730230010954e-05,5.156877832512315e-05
149,+3.19997000E-05,1559292305.289,+1.57087380E+00,,6.415744687842278e-05,5.157262068965517e-05
150,+3.28273000E-05,1559292308.889,+1.57087380E+00,,6.449428368017524e-05,5.157454187192118e-05
151,+3.22267000E-05,1559292309.0973332,+1.57087510E+00,,6.6275426067908e-05,5.157402955665025e-05
152,+3.18931000E-05,1559292309.3056667,+1.57086890E+00,,6.6276004381161e-05,5.157402955665025e-05
153,+3.17796000E-05,1559292309.514,+1.57087140E+00,,6.666174917853231e-05,5.157249261083744e-05
154,+3.20732000E-05,1559292309.7223332,+1.57086890E+00,,6.83901182913472e-05,5.1571852216748774e-05
155,+3.25538000E-05,1559292309.9306667,+1.57087010E+00,,6.839014786418402e-05,5.15719802955665e-05
156,+3.24537000E-05,1559292310.139,+1.57087630E+00,,6.884121467688937e-05,5.1571467980295566e-05
157,+3.17595000E-05,1559292310.3473332,+1.57087260E+00,,7.056606243154437e-05,5.1573389162561574e-05
158,+3.17661000E-05,1559292310.5556667,+1.57086890E+00,,7.05653395399781e-05,5.157479802955665e-05
159,+3.16128000E-05,1559292310.764,+1.57087140E+00,,7.118523548740416e-05,5.1572876847290645e-05
160,+3.16994000E-05,1559292310.9723332,+1.57087380E+00,,7.267835815991238e-05,5.1575182266009855e-05
161,+3.17997000E-05,1559292311.1806667,+1.57087140E+00,,7.267903723986856e-05,5.1575438423645316e-05
162,+3.29207000E-05,1559292311.389,+1.57087260E+00,,7.332592661555312e-05,5.1571467980295566e-05
163,+3.20732000E-05,1559292311.5973332,+1.57087140E+00,,7.472644030668127e-05,5.157710344827586e-05
164,+3.26672000E-05,1559292311.8056667,+1.57087260E+00,,7.472707667031763e-05,5.157274876847291e-05
165,+3.20599000E-05,1559292312.014,+1.57087140E+00,,7.472729353778752e-05,5.15723645320197e-05
166,+3.19797000E-05,1559292312.2223332,+1.57087510E+00,,7.472833515881709e-05,5.157492610837439e-05
167,+3.22401000E-05,1559292312.4306667,+1.57087380E+00,,7.47283921139102e-05,5.1572108374384235e-05
168,+3.15794000E-05,1559292312.639,+1.57086890E+00,,7.472845016429354e-05,5.157274876847291e-05
169,+3.16195000E-05,1559292312.8473332,+1.57087380E+00,,7.472917415115007e-05,5.157556650246305e-05
170,+3.20199000E-05,1559292313.0556667,+1.57087630E+00,,7.472931872946331e-05,5.156852216748768e-05
171,+3.22534000E-05,1559292313.264,+1.57087510E+00,,7.472943373493975e-05,5.157492610837439e-05
172,+3.26003000E-05,1559292313.4723332,+1.57087010E+00,,7.473109748083242e-05,5.15723645320197e-05
173,+3.19331000E-05,1559292313.6806667,+1.57087380E+00,,7.4730852135816e-05,5.157057142857143e-05
174,+3.13792000E-05,1559292313.889,+1.57087510E+00,,7.473231325301205e-05,5.157428571428571e-05
175,+3.13258000E-05,1559292317.489,+1.57086890E+00,,7.497769331872946e-05,5.157262068965517e-05
176,+3.12390000E-05,1559292317.6973333,+1.57087510E+00,,7.691088280394305e-05,5.1573389162561574e-05
177,+3.17129000E-05,1559292317.9056668,+1.57087140E+00,,7.691218510405257e-05,5.157377339901478e-05
178,+3.09253000E-05,1559292318.114,+1.57087010E+00,,7.73343691128149e-05,5.157018719211823e-05
179,+3.16260000E-05,1559292318.3223333,+1.57087010E+00,,7.902686637458927e-05,5.157377339901478e-05
180,+3.22467000E-05,1559292318.5306668,+1.57087260E+00,,7.902863198247535e-05,5.1571467980295566e-05
181,+3.11656000E-05,1559292318.739,+1.57087140E+00,,7.949993866374588e-05,5.157133990147783e-05
182,+3.09922000E-05,1559292318.9473333,+1.57086890E+00,,8.114258926615553e-05,5.1570443349753695e-05
183,+3.11724000E-05,1559292319.1556668,+1.57087380E+00,,8.114410843373494e-05,5.15712118226601e-05
184,+3.15594000E-05,1559292319.364,+1.57086890E+00,,8.181612814895948e-05,5.15712118226601e-05
185,+3.13926000E-05,1559292319.5723333,+1.57087380E+00,,8.332414348302299e-05,5.157505418719212e-05
186,+3.12858000E-05,1559292319.7806668,+1.57086890E+00,,8.332586527929901e-05,5.157300492610838e-05
187,+3.14259000E-05,1559292319.989,+1.57087140E+00,,8.402733734939759e-05,5.156724137931035e-05
188,+3.22801000E-05,1559292320.1973333,+1.57086640E+00,,8.544170536692224e-05,5.157364532019704e-05
189,+3.10989000E-05,1559292320.4056668,+1.57086890E+00,,8.544235596933188e-05,5.157069950738917e-05
190,+3.09054000E-05,1559292320.614,+1.57086890E+00,,8.544357064622125e-05,5.157018719211823e-05
191,+3.06384000E-05,1559292320.8223333,+1.57086520E+00,,8.544443921139102e-05,5.157069950738917e-05
192,+3.07384000E-05,1559292321.0306668,+1.57086760E+00,,8.54454512595838e-05,5.156954679802956e-05
193,+3.09120000E-05,1559292321.239,+1.57086520E+00,,8.544694194961665e-05,5.156596059113301e-05
194,+3.05249000E-05,1559292321.4473333,+1.57086760E+00,,8.5448286966046e-05,5.157057142857143e-05
195,+3.14592000E-05,1559292321.6556668,+1.57087010E+00,,8.544958926615554e-05,5.1568137931034485e-05
196,+3.08919000E-05,1559292321.864,+1.57086760E+00,,8.54504852135816e-05,5.157249261083744e-05
197,+3.13525000E-05,1559292322.0723333,+1.57086640E+00,,8.545158488499451e-05,5.157031527093596e-05
198,+3.15927000E-05,1559292322.2806668,+1.57086890E+00,,8.545240963855422e-05,5.156800985221675e-05
199,+3.18596000E-05,1559292322.489,+1.57087260E+00,,8.54539430449069e-05,5.157428571428571e-05
